"","Loans.funded_amnt","Loans.loan_amnt","Loans.dti","Loans.emp_length","Loans.installment","Loans.annual_inc","Loans.revol_bal","earlyear","proputil","Loans.open_acc","Loans.loan_status"
"1182",16750,16750,15.68,0,602.03,48000,22181,105,87,12,"Fully Paid"
"34449",19000,19000,12.9,10,648.61,85000,7541,90,82,7,"Fully Paid"
"35461",3000,3000,14.63,5,94.01,80000,2238,103,3,21,"Fully Paid"
"19876",10000,10000,15.5,3,227.84,80000,16247,94,88.8,7,"Fully Paid"
"17027",11700,11700,24.45,6,394.56,35000,21045,100,57.5,22,"Fully Paid"
"30570",6000,6000,3.31,3,193.27,25000,2702,102,31.1,9,"Fully Paid"
"19670",12500,12500,11.55,1,405.52,45000,15281,98,66.7,2,"Fully Paid"
"37187",7800,7800,20.46,10,255.88,41004,11437,101,41.6,14,"Fully Paid"
"5185",10000,10000,5.01,10,304.36,165000,4357,89,4.5,12,"Fully Paid"
"3463",15000,15000,10.36,1,521.97,30000,15978,106,79.9,7,"Fully Paid"
"33449",4800,4800,2.81,3,149.85,110000,691,94,0.8,10,"Fully Paid"
"23293",11050,17500,22.72,3,338.88,53352,17787,97,40,10,"Fully Paid"
"8291",3900,3900,19.04,8,131.39,52000,4915,101,93.4,5,"Fully Paid"
"19803",12000,12000,16.15,4,372.12,140004,113671,98,70,9,"Fully Paid"
"22641",6575,10000,4.55,10,202.75,150996,22352,93,75.7,6,"Fully Paid"
"14797",3000,3000,19.48,8,90.48,47000,4034,94,19.4,13,"Fully Paid"
"7649",35000,35000,4.83,10,1139.08,120000,36235,80,88,7,"Fully Paid"
"36201",18000,18000,8.66,10,632.84,70000,12584,98,81.1,6,"Fully Paid"
"7089",7500,7500,19.02,6,234.68,45000,7439,97,54,8,"Fully Paid"
"36756",12000,12000,7.21,0,410.75,80000,7887,100,37.2,12,"Fully Paid"
"13231",4000,4000,0.64,3,124.41,35600,829,100,16.6,2,"Fully Paid"
"31481",16000,16000,20.96,3,539.92,62800,16327,97,70.1,15,"Fully Paid"
"5587",2000,2000,14.14,0,71.58,32500,3461,103,84.4,2,"Fully Paid"
"37451",3000,5000,8.34,3,94.46,82000,5688,86,69.3,3,"Fully Paid"
"35901",9000,9000,0.43,4,287.53,112000,1074,94,3.9,13,"Fully Paid"
"25900",17600,17600,20.58,2,464.24,1e+05,42740,96,96.3,16,"Fully Paid"
"36406",7675,7675,16.37,1,269.84,36000,16083,105,71.8,7,"Fully Paid"
"37239",15000,15000,12.87,10,485.42,30200,14857,92,31.3,10,"Fully Paid"
"9393",4800,4800,16.5,10,154.86,38628.96,9966,93,57.3,9,"Fully Paid"
"30705",13000,13000,22.29,10,404.43,54000,3667,91,10,12,"Fully Paid"
"25949",4000,4000,10.81,2,125.13,95000,16753,101,60,9,"Fully Paid"
"8228",20575,32000,15.54,7,457.58,52500,20021,99,62,4,"Fully Paid"
"9322",15000,15000,11.52,10,473.45,60000,19228,97,35.7,6,"Fully Paid"
"13961",12000,12000,19,10,398.52,84000,61365,100,60.2,16,"Fully Paid"
"25815",15000,15000,20.56,7,368.37,44000,11013,96,90.3,7,"Fully Paid"
"7546",13000,13000,13.53,7,392.08,70000,73764,88,22.5,12,"Fully Paid"
"35187",4000,4000,8.67,2,127.79,48996,34,98,0.3,5,"Fully Paid"
"21642",23000,23000,10.14,1,709.23,160000,35911,95,52.4,8,"Fully Paid"
"27612",4000,4000,9.95,7,92.27,55000,1513,102,11,8,"Fully Paid"
"16437",6000,6000,3.81,5,193.61,50100,3182,104,39.9,6,"Fully Paid"
"34907",6500,6500,18.1,4,215.57,84000,14575,94,36.4,10,"Fully Paid"
"8212",12000,12000,14.67,10,258.47,40584,16825,83,63.7,6,"Fully Paid"
"31493",13000,13000,14.09,10,406.65,135000,28184,82,43.2,13,"Fully Paid"
"12380",21000,21000,21.6,4,467.03,90000,35854,95,58.8,8,"Fully Paid"
"4305",12000,12000,6.41,5,386.7,58000,1525,92,5.6,7,"Fully Paid"
"5104",12000,12000,13.45,5,365.23,24000,1406,82,3.3,12,"Fully Paid"
"4740",8800,8800,9.57,4,301.92,46000,8130,101,51.1,4,"Fully Paid"
"3387",12000,12000,14.43,10,271.14,48000,12186,84,30,9,"Fully Paid"
"11518",18000,18000,13.87,10,626.01,46800,18184,86,83.3,8,"Fully Paid"
"3756",26375,26375,23.22,10,697.46,58300,15411,99,64.8,12,"Fully Paid"
"4150",16000,16000,4.73,4,486.97,124000,2128,88,2.8,7,"Fully Paid"
"29517",3200,3200,19.33,10,97.93,72000,14111,95,17.7,14,"Fully Paid"
"20243",25000,25000,16.83,10,608.22,117000,37363,88,70,9,"Fully Paid"
"34002",20000,20000,13.68,1,686.12,70000,27561,96,80.8,14,"Fully Paid"
"8905",9600,9600,3.72,6,289.54,49000,7512,102,36.5,9,"Fully Paid"
"24264",5000,5000,0.25,0,165.74,72000,207,91,9.7,5,"Fully Paid"
"21030",18000,18000,3.77,10,552.01,110000,15459,90,41.8,5,"Fully Paid"
"30628",20150,20150,22.66,4,663.16,75000,4279,98,8.3,13,"Fully Paid"
"35338",9000,9000,12.71,0,303.94,80000,12641,104,55.7,7,"Fully Paid"
"3277",7000,7000,12.88,10,237.52,38000,10133,86,52.5,15,"Fully Paid"
"19329",10000,10000,15.17,2,269.7,1e+05,11058,102,70.9,12,"Fully Paid"
"18060",7800,7800,10.9,10,170.02,37000,15974,98,66,5,"Fully Paid"
"18359",17400,17400,13.22,2,542.53,120000,84960,94,29.53,8,"Fully Paid"
"3301",7000,7000,6.12,10,231.54,60000,9925,91,43.2,3,"Fully Paid"
"28651",3000,3000,5.83,7,93.34,105996,4791,97,28.9,8,"Fully Paid"
"12836",1800,1800,12.07,5,59.78,33195.2,3089,88,88.3,3,"Fully Paid"
"71",13575,20975,18.79,5,341.63,44000,20657,100,79.4,13,"Fully Paid"
"35950",12000,12000,4.04,3,420.02,45996,7805,99,41.9,8,"Fully Paid"
"11612",12800,12800,18.91,4,416.58,42000,2543,101,20.8,5,"Fully Paid"
"6438",34000,34000,19.58,10,875.26,72000,18546,98,52.7,8,"Fully Paid"
"34553",5000,5000,13.72,3,164.02,60000,6577,83,15.8,11,"Fully Paid"
"22085",6400,6400,4.95,5,197.36,72000,4771,83,21.9,9,"Fully Paid"
"6999",35000,35000,26.81,10,760.82,73000,35520,87,37.3,13,"Fully Paid"
"12873",11975,16000,5.26,4,283.57,2e+05,32710,100,79,10,"Fully Paid"
"28105",10000,10000,1.12,4,311.11,103000,4293,88,4.7,16,"Fully Paid"
"2350",12000,12000,22.61,3,306.36,34500,9292,99,96.8,9,"Fully Paid"
"37448",2000,3000,3.02,0,66.95,31000,3574,88,60.6,8,"Fully Paid"
"28640",10500,10500,22.52,4,249.58,48000,12312,104,63.1,8,"Fully Paid"
"19502",25000,25000,15.91,10,603.32,92000,70445,84,57.6,16,"Fully Paid"
"28647",11725,18000,7.18,7,265.17,60000,2030,102,58,4,"Fully Paid"
"35127",10700,10700,10.86,2,343.41,48000,1772,99,7.4,9,"Fully Paid"
"14550",8000,8000,12.17,10,248.82,28000,8018,105,47.2,7,"Fully Paid"
"35044",7000,7000,17.69,1,237.46,54000,6062,103,55.6,8,"Fully Paid"
"12018",7500,7500,4.18,0,233.27,125000,119,104,0.4,6,"Fully Paid"
"10092",8000,8000,12.64,5,263.78,1e+05,7557,97,33.1,8,"Fully Paid"
"21674",6000,6000,15.15,3,181.97,40000,10243,94,20.7,13,"Fully Paid"
"5277",6000,6000,0.6,7,190.52,30000,54,101,1.7,3,"Fully Paid"
"12237",11400,11400,11.84,4,396.47,60000,5708,99,68,9,"Fully Paid"
"12469",2650,2650,10.48,8,89.28,52000,11042,103,92,4,"Fully Paid"
"29098",4500,4500,14.74,7,138.47,32000,2705,87,6.8,7,"Fully Paid"
"14411",6000,6000,7.68,7,130.43,67200,12007,96,39.5,16,"Fully Paid"
"19054",10500,10500,14.54,1,323.83,85000,11379,96,63.9,5,"Fully Paid"
"12414",2500,2500,19.88,10,85.44,56810,9173,90,30.9,14,"Fully Paid"
"27565",8000,8000,10.77,6,192.77,84000,6407,97,58.2,9,"Fully Paid"
"11833",21000,21000,1.43,10,456.49,42000,1581,90,7.1,8,"Fully Paid"
"26933",6250,6250,19.68,2,202.79,20004,15330,99,28.5,11,"Fully Paid"
"5414",35000,35000,20.79,10,916.03,110000,15733,89,65,8,"Fully Paid"
"1599",12000,12000,8.85,5,396.92,48000,12184,105,81.8,4,"Fully Paid"
"26728",6500,6500,20.86,2,210.9,26400,6865,103,58.2,5,"Fully Paid"
"37128",2400,2400,0.86,0,77.67,14000,185,104,1.7,4,"Fully Paid"
"31704",24250,24250,1.1,4,848.42,105000,2883,98,31,3,"Fully Paid"
"19309",1000,1000,5.93,0,31.01,69000,5905,95,34.7,8,"Fully Paid"
"28521",18150,25000,11.72,5,640.98,97000,32169,86,60.9,15,"Fully Paid"
"14953",10000,10000,20.52,4,230.05,34800,11708,83,88.7,8,"Fully Paid"
"2412",18800,18800,23.63,10,432.49,58000,29779,87,66.8,7,"Fully Paid"
"5510",25000,25000,2.88,10,638.25,90000,8410,99,28.9,11,"Fully Paid"
"37996",10000,10000,2.1,9,313.37,52000,0,93,0,7,"Fully Paid"
"27524",9600,9600,14.05,2,229.45,51000,9300,90,62.8,5,"Fully Paid"
"25552",1500,1500,12.67,0,49.73,21216,2030,96,50.1,5,"Fully Paid"
"27608",1450,1450,17.24,1,50.68,30000,786,105,98.2,6,"Fully Paid"
"26754",12000,12000,0.46,3,419.41,78000,210,100,2.4,4,"Fully Paid"
"20459",9000,9000,17.81,9,191.18,38000,39388,94,61.1,11,"Fully Paid"
"13979",35000,35000,1.1,10,760.82,158000,5017,92,6.7,6,"Fully Paid"
"13799",15000,15000,10.22,6,355.2,160000,27891,93,49.4,16,"Fully Paid"
"12347",21000,21000,21.45,8,456.49,72000,1192,96,3.7,10,"Fully Paid"
"31946",12000,12000,22.57,3,397.61,33600,5744,94,55.8,10,"Fully Paid"
"34846",8000,8000,7,1,275.07,54000,14867,104,57.6,12,"Fully Paid"
"31235",25000,25000,17.88,4,818.38,49000,5947,89,14,12,"Fully Paid"
"582",2400,2400,4.71,0,81.44,12996,2902,106,96.7,5,"Fully Paid"
"34785",8000,8000,15.69,2,265.32,40000,7131,102,93.8,6,"Fully Paid"
"34542",12000,12000,16.27,10,395.63,57300,21528,98,64.3,8,"Fully Paid"
"38135",5275,5275,20.69,3,171.18,45000,5500,100,28.2,11,"Fully Paid"
"30667",6000,6000,15.89,10,185.64,50000,3485,75,20,10,"Fully Paid"
"23877",13450,16800,19.95,10,330.31,60822,41982,96,76.7,18,"Fully Paid"
"22375",2000,2000,9.29,2,63.49,102400,0,100,20,2,"Fully Paid"
"24076",15000,15000,13.1,4,509.83,111147.66,10461,95,59.8,14,"Fully Paid"
"5691",2400,2400,10.95,10,77.34,91000,27777,90,32,17,"Fully Paid"
"11119",10325,13650,4.77,2,253.78,40000,5760,95,19.8,10,"Fully Paid"
"11732",7500,7500,12.67,3,245.51,50000,10804,103,85.1,4,"Fully Paid"
"16427",12000,12000,12.21,8,372.12,90000,21840,94,21.5,10,"Fully Paid"
"281",10000,10000,12.99,9,304.36,80000,27644,87,45.2,7,"Fully Paid"
"36230",5000,5000,22.92,0,174.24,37440,7566,98,47.3,10,"Fully Paid"
"28398",10000,10000,17.48,4,331.48,50000,2517,90,8.7,8,"Fully Paid"
"21221",3100,3100,24.85,0,104.98,31200,2814,104,78.2,5,"Fully Paid"
"7387",4200,4200,14.52,2,103.24,50004,900,106,50,4,"Fully Paid"
"37211",9450,9450,14.33,1,308.63,70000,13823,94,79.9,4,"Fully Paid"
"91",12000,12000,23.94,0,390.88,62000,20310,102,78.4,10,"Fully Paid"
"38205",17350,17350,18.52,6,589.2,44000,18966,94,70.5,8,"Fully Paid"
"14000",2400,2400,12.11,1,51.7,88000,20896,95,57.1,11,"Fully Paid"
"12566",10000,10000,9.8,1,327.34,72000,3317,104,52.7,8,"Fully Paid"
"28812",13975,20000,4.87,4,351.54,80004,3580,106,46.5,7,"Fully Paid"
"30710",15000,15000,13.01,4,527.91,40320,7023,94,97.5,4,"Fully Paid"
"34699",20000,20000,6.75,10,675.41,75000,19894,95,78.6,7,"Fully Paid"
"9150",35000,35000,14.08,10,1196.05,164000,9523,91,11.8,23,"Fully Paid"
"7273",10000,10000,9.24,3,307.04,66000,8495,106,22.4,17,"Fully Paid"
"2252",20000,20000,16.2,10,523.45,48000,13224,99,96.5,5,"Fully Paid"
"31795",10000,10000,17.43,0,344.76,165000,114393,98,46.6,20,"Fully Paid"
"19424",14000,14000,24.19,10,431.77,37000,32635,90,32.2,14,"Fully Paid"
"21874",8850,10000,3.91,3,268.4,65000,8462,100,17.6,8,"Fully Paid"
"9822",2400,2400,2.4,2,87.72,38000,2329,107,97,3,"Fully Paid"
"15298",11000,11000,16.21,4,342.12,45000,10229,104,30.6,9,"Fully Paid"
"22929",12725,20000,14.26,10,388.11,70000,12386,91,29.1,9,"Fully Paid"
"22687",4200,4200,18.8,2,142.23,42000,8166,106,38.7,7,"Fully Paid"
"1200",1200,1200,29.26,10,37.55,39000,3796,93,94.9,5,"Fully Paid"
"6077",35000,35000,5.54,3,773.44,155000,1556,100,5.8,8,"Fully Paid"
"7203",7000,7000,8.45,2,228.02,90000,10736,106,48.1,10,"Fully Paid"
"18813",9500,9500,7.37,1,286.52,55000,5937,99,14.1,19,"Fully Paid"
"4480",12000,12000,17.81,1,396.92,84000,7080,92,67.4,9,"Fully Paid"
"12524",35000,35000,11.94,10,1139.08,140000,8135,87,34.9,8,"Fully Paid"
"32060",6000,6000,19.26,5,190.63,40000,5324,98,66.5,10,"Fully Paid"
"35004",4000,4000,1.07,3,133.87,47004,1332,106,19.9,4,"Fully Paid"
"28239",6000,6000,7.73,4,205.01,75000,3507,91,46.1,6,"Fully Paid"
"3893",6725,6725,13.92,8,206.49,70000,2802,100,33.8,8,"Fully Paid"
"8462",8000,8000,12.05,0,248.82,24000,8031,91,46.4,3,"Fully Paid"
"25878",18000,18000,10.75,10,440.8,44000,8426,100,80.2,5,"Fully Paid"
"17281",12500,12500,13.2,1,409.89,46000,7941,99,51.2,11,"Fully Paid"
"30256",18000,18000,12.54,3,613.87,80171,20276,97,89.2,11,"Fully Paid"
"13684",11275,11275,20.86,10,379.85,220000,31727,94,89.4,10,"Fully Paid"
"3377",24000,24000,8.38,10,634.66,62000,11355,104,95.4,4,"Fully Paid"
"11906",4000,4000,5.73,3,121.67,18000,2437,92,6.2,4,"Fully Paid"
"29995",7500,7500,15.9,1,253.09,28000,0,105,0,3,"Fully Paid"
"3772",27600,27600,15.77,2,863.62,69000,12547,99,27.4,16,"Fully Paid"
"4883",5000,5000,22.81,2,167.73,43200,5431,83,97,15,"Fully Paid"
"25971",16000,16000,8.5,9,351.81,47000,14098,69,61.6,8,"Fully Paid"
"10935",12375,12375,24.95,9,419.89,53000,32725,98,75.8,7,"Fully Paid"
"23950",10000,10000,20.83,5,311.11,53000,23421,94,55.8,14,"Fully Paid"
"29997",7500,7500,8.06,2,242.89,85000,9720,100,39.8,11,"Fully Paid"
"17748",1800,1800,6.41,10,57.77,1e+05,3630,97,34.6,14,"Fully Paid"
"20607",4750,4750,24.82,7,158.3,26400,7139,104,43.8,15,"Fully Paid"
"4919",7000,7000,16.16,1,241.46,60000,7353,105,44,13,"Fully Paid"
"31155",3500,3500,14.18,10,107.11,74900,5256,90,15.6,12,"Fully Paid"
"25738",15075,25000,13.7,6,350.62,2e+05,56847,81,56.5,19,"Fully Paid"
"27529",10000,10000,14.41,2,312.82,61200,4655,100,73.9,6,"Fully Paid"
"1107",13000,13000,14.96,10,418.93,105000,17954,99,80.2,9,"Fully Paid"
"15627",30000,30000,2.96,0,642.89,60000,138,100,0.8,8,"Fully Paid"
"17558",2500,2500,14.72,0,54.04,15000,699,106,12.3,4,"Fully Paid"
"24323",15000,15000,8.19,0,509.83,70000,10411,98,56,9,"Fully Paid"
"29259",15000,15000,20.27,3,493.67,45000,5794,100,57.9,14,"Fully Paid"
"38199",9900,9900,3.19,10,310.24,101400,1715,85,8.2,10,"Fully Paid"
"4142",19000,19000,11.37,7,419.87,76700,19030,93,53.3,7,"Fully Paid"
"7921",14675,14675,29.18,6,333.83,38004,21088,93,59.7,7,"Fully Paid"
"29577",15000,15000,2.66,3,469.21,136625,3123,98,8.7,9,"Fully Paid"
"20939",3000,3000,21.83,3,77.07,52000,9074,103,98.6,10,"Fully Paid"
"10452",15000,15000,14.74,3,533.98,32568,9401,94,66.2,6,"Fully Paid"
"15551",5000,5000,7.34,7,119.69,75000,6520,101,63.9,8,"Fully Paid"
"24079",15000,15000,7.35,1,332.61,52600,3067,101,10.2,13,"Fully Paid"
"32370",11200,11200,12.55,1,384.23,48000,11969,104,82.5,4,"Fully Paid"
"99",3500,3500,2.31,10,106.53,83000,3092,86,13.4,6,"Fully Paid"
"33391",25000,25000,16.66,3,861.88,112000,65844,84,48.9,10,"Fully Paid"
"14880",2500,2500,17.65,3,81.37,24000,1050,108,14.8,5,"Fully Paid"
"16436",21000,21000,11,10,688.61,110000,33974,95,88.9,5,"Fully Paid"
"2881",4900,4900,12.49,5,149.14,42000,4894,100,6.5,11,"Fully Paid"
"210",2000,2000,17.74,2,69.6,41000,18115,104,96.4,7,"Fully Paid"
"31985",8000,8000,3.62,2,254.18,60000,7610,101,34,7,"Fully Paid"
"4378",20000,20000,29.26,4,451.9,55000,18865,96,66.4,7,"Fully Paid"
"17288",8000,8000,10.91,5,189.95,65000,16539,101,84,6,"Fully Paid"
"23401",16000,16000,5.9,2,541.81,75000,9212,106,40.7,17,"Fully Paid"
"3801",12250,12250,21.43,6,286.76,55000,14453,100,46.2,10,"Fully Paid"
"12907",7200,7200,12.83,6,152.95,36000,7389,85,58.2,7,"Fully Paid"
"15469",6800,6800,4.46,8,218.24,28800,3810,102,13.1,12,"Fully Paid"
"28178",23050,23050,14.18,10,791.72,2e+05,24803,87,61.5,12,"Fully Paid"
"27485",1200,1200,10.54,2,29.47,87000,3565,97,99,6,"Fully Paid"
"29678",7000,7000,8.71,2,241.26,35000,387,105,14.9,7,"Fully Paid"
"29576",4000,4000,13.77,2,140.05,15600,5416,106,91.8,4,"Fully Paid"
"9425",5650,5650,10.92,0,198.61,20000,5665,101,75.5,4,"Fully Paid"
"27057",12000,12000,4.27,2,261.63,50000,7261,100,76.3,9,"Fully Paid"
"27062",1500,1500,17.27,1,51.26,54000,113,96,16.1,3,"Fully Paid"
"1501",20000,20000,9.58,4,661.52,65000,18267,89,53.7,12,"Fully Paid"
"22609",12475,20000,16.74,3,265,80000,11749,93,50,7,"Fully Paid"
"21571",2500,2500,20.55,8,84.22,24996,3230,105,97.9,5,"Fully Paid"
"21951",4800,4800,14.67,0,155.7,40000,7649,104,95.6,7,"Fully Paid"
"35958",4000,4000,13.45,10,124.77,38000,3199,96,7.4,7,"Fully Paid"
"10099",14500,14500,5.44,8,441.06,70572,10924,92,32.2,6,"Fully Paid"
"6515",29300,29300,2.05,3,658,65000,1843,94,4.2,12,"Fully Paid"
"19573",3500,3500,15.54,10,108.54,75996,41602,90,77.2,12,"Fully Paid"
"17688",10000,10000,15.31,4,322.68,90000,16854,94,36,22,"Fully Paid"
"13535",4800,4800,16.96,2,159.41,57408,6391,97,85.2,7,"Fully Paid"
"12966",5400,5400,12.55,4,171.47,65000,5972,102,32.8,11,"Fully Paid"
"16586",5500,5500,16.77,8,117.87,52368,4987,98,22.8,11,"Fully Paid"
"16533",10575,10575,22.24,1,247,28000,457,95,30.5,8,"Fully Paid"
"7226",9600,9600,17.82,5,338.89,48000,7611,102,56.4,23,"Fully Paid"
"20532",9000,9000,21.72,1,301.56,40000,10042,104,31.4,9,"Fully Paid"
"23959",2500,2500,14.92,10,85.87,72000,12155,97,61.7,5,"Fully Paid"
"20645",2000,2000,4.66,9,64.88,26000,1378,97,44.5,6,"Fully Paid"
"36427",5500,5500,15.64,1,186.58,33996,13403,100,83.8,12,"Fully Paid"
"28947",17825,25000,14.55,3,455.56,60000,1426,107,9.2,16,"Fully Paid"
"13697",12000,12000,14.81,6,297.53,70000,763,101,6.5,9,"Fully Paid"
"36641",12000,12000,10.05,10,407.08,315000,127192,84,67,19,"Fully Paid"
"1915",4850,4850,18.63,10,166.4,23000,6559,101,81.1,9,"Fully Paid"
"5682",22250,22250,18.19,10,568.04,54150,4483,99,30.9,12,"Fully Paid"
"10534",10000,10000,24.43,2,339.31,48000,4293,89,48.2,12,"Fully Paid"
"29646",10000,10000,9.7,10,344.65,120000,4786,91,48.3,9,"Fully Paid"
"12643",16400,24000,7.14,5,536.84,76000,10160,94,40.3,5,"Fully Paid"
"12541",4400,4400,9.88,10,145.08,19200,3167,105,81.2,18,"Fully Paid"
"6818",12000,12000,9.48,5,242.75,40000,9595,88,18.5,9,"Fully Paid"
"16911",5500,5500,23.16,2,169.63,38400,8206,99,16.4,5,"Fully Paid"
"30577",5000,5000,2.59,0,156.41,10668,1138,100,25.3,4,"Fully Paid"
"24075",10000,10000,7.28,3,351.33,35100,3921,107,35.3,9,"Fully Paid"
"16491",21000,21000,12.94,4,478.46,2e+05,2784,94,79.5,8,"Fully Paid"
"3916",10000,10000,15.34,2,304.36,67200,69542,95,23.6,8,"Fully Paid"
"6657",10000,10000,20.73,4,255.3,39996,7403,104,89.2,10,"Fully Paid"
"2870",2100,2100,1.2,7,63.92,40000,5371,101,41.3,5,"Fully Paid"
"18202",5000,5000,18.66,1,155.05,1e+05,23484,99,70.1,13,"Fully Paid"
"11727",2275,2275,19.31,5,70.76,65000,9963,99,29.2,12,"Fully Paid"
"27272",15000,15000,22.59,10,469.22,44400,11228,98,29.3,19,"Fully Paid"
"22850",6200,9000,7.47,3,191.19,80000,1464,100,31.1,6,"Fully Paid"
"11512",18225,18225,21.99,10,470.67,68000,21895,92,94.4,10,"Fully Paid"
"3257",6600,6600,0.41,0,164.99,43500,462,105,11.8,8,"Fully Paid"
"3271",17325,17325,29.44,8,391.46,45000,32864,101,60.9,16,"Fully Paid"
"6644",13800,13800,6.6,10,468.25,48000,787,79,16.7,5,"Fully Paid"
"18018",5000,5000,5.46,7,108.99,28800,4101,106,62.1,4,"Fully Paid"
"13719",16200,16200,19.86,2,422.83,38000,5545,106,39.6,15,"Fully Paid"
"38046",20000,20000,0.81,5,640.2,44500,281,98,1.7,8,"Fully Paid"
"26774",5500,5500,13.14,9,172.05,65000,16647,91,25.5,12,"Fully Paid"
"16344",5000,5000,0,6,155.05,48996,0,96,0,4,"Fully Paid"
"27781",4000,4000,3.72,0,129.79,37400,275,104,21.2,3,"Fully Paid"
"37663",10000,10000,20.77,4,342.66,90000,59106,101,62.3,10,"Fully Paid"
"29399",5000,5000,8.67,5,156.41,48996,1517,95,7.4,12,"Fully Paid"
"873",4000,4000,13.16,3,127.02,62000,7171,104,52.3,9,"Fully Paid"
"2",2500,2500,1,0,59.83,30000,1687,99,9.4,3,"Charged Off"
"9",5600,5600,5.55,4,152.39,40000,5210,104,32.6,11,"Charged Off"
"10",5375,5375,18.08,0,121.45,15000,9279,104,36.5,2,"Charged Off"
"13",9000,9000,10.08,0,305.38,30000,10452,104,91.7,4,"Charged Off"
"15",10000,10000,7.06,3,325.74,1e+05,11997,91,55.5,14,"Charged Off"
"22",21000,21000,13.22,10,701.73,105000,32135,83,90.3,7,"Charged Off"
"25",6000,6000,2.4,1,198.46,76000,5963,101,29.7,7,"Charged Off"
"27",15000,15000,15.22,9,514.64,60000,5872,103,57.6,7,"Charged Off"
"28",5000,5000,13.97,2,123.65,50004,4345,103,59.5,14,"Charged Off"
"47",5000,5000,16.33,10,158.77,1e+05,74351,95,62.1,17,"Charged Off"
"51",15000,15000,9.12,8,483.38,80000,11845,92,63.7,9,"Charged Off"
"54",12000,12000,20.88,4,421.65,50000,15793,106,90.8,11,"Charged Off"
"56",21000,21000,21.58,7,555.33,50000,19448,98,97.6,7,"Charged Off"
"65",10000,10000,21.73,10,215.69,45996,11170,97,30.1,7,"Charged Off"
"67",8925,12500,13.16,5,223.11,30000,9844,95,70.8,7,"Charged Off"
"69",8200,8200,12.48,4,223.14,75000,9012,100,73.9,6,"Charged Off"
"72",6400,6400,20.22,5,227.45,75000,7159,94,67.5,9,"Charged Off"
"98",17500,17500,21.31,7,437.47,45000,20129,102,86.1,13,"Charged Off"
"101",6200,6200,20.64,2,199.8,25000,6533,98,47.7,7,"Charged Off"
"106",18825,18825,23.18,10,465.53,38000,11004,104,79.7,6,"Charged Off"
"115",10000,10000,24.14,1,362.78,75000,22828,97,96.3,9,"Charged Off"
"121",25000,25000,14.15,10,575.12,67000,15319,99,91.2,6,"Charged Off"
"122",19750,19750,22.8,4,643.33,45000,16576,100,54.2,12,"Charged Off"
"125",11800,28000,20.7,10,312.04,52000,29178,88,87.6,10,"Charged Off"
"132",24000,24000,9.17,8,843.3,90000,30952,95,71.2,9,"Charged Off"
"138",11100,11100,29.85,10,340.82,41000,17518,91,62.3,8,"Charged Off"
"146",12000,12000,7.83,2,386.7,42000,9749,106,65.4,8,"Charged Off"
"152",10000,10000,22.08,8,330.76,60000,5626,101,29.3,8,"Charged Off"
"154",13475,13475,21.89,10,309.99,25000,9943,101,65.8,7,"Charged Off"
"156",5600,5600,12.24,1,193.17,85000,6812,99,90.8,8,"Charged Off"
"175",10000,10000,6.92,5,339.31,65000,14292,99,69.5,12,"Charged Off"
"176",7750,7750,16.1,0,277.36,24000,2348,104,67.1,4,"Charged Off"
"177",20000,20000,16.63,6,539.84,70000,10470,102,79.9,10,"Charged Off"
"179",21000,21000,6.62,3,464.07,60000,10543,90,79.9,7,"Charged Off"
"182",15000,15000,19.63,10,533.08,42000,8238,101,74.9,10,"Charged Off"
"183",15000,15000,16.03,8,536.81,75000,13505,91,75.9,10,"Charged Off"
"188",16000,16000,20.64,1,536.72,58500,26224,94,89.3,8,"Charged Off"
"195",12000,12000,8.4,8,411.71,70000,11546,105,86.2,7,"Charged Off"
"203",13650,13650,12.29,10,456.12,86000,16140,94,73.4,12,"Charged Off"
"204",10500,10500,15,3,370.66,30000,5379,107,55.5,7,"Charged Off"
"212",15075,15075,20.16,10,517.21,35000,10570,100,89.6,7,"Charged Off"
"220",9500,9500,23.54,0,318.68,52500,23729,99,75.3,14,"Charged Off"
"224",7200,7200,7.98,3,225.29,68000,8783,102,82.9,5,"Charged Off"
"225",26000,26000,11.77,10,642.96,53000,7560,98,72.7,5,"Charged Off"
"226",7000,7000,26.22,6,154.69,69600,45449,79,90.9,10,"Charged Off"
"231",10000,10000,2.69,2,335.45,70000,6035,100,70.2,5,"Charged Off"
"239",15600,15600,5.78,10,352.48,50000,8079,103,35.7,8,"Charged Off"
"251",4000,4000,6.86,2,134.18,25000,8546,105,79.7,5,"Charged Off"
"255",10000,10000,18.31,10,334.16,39000,11691,98,90.6,7,"Charged Off"
"266",12000,12000,9.13,7,381.04,80000,13088,103,83.5,8,"Charged Off"
"270",16000,16000,16.22,10,368.08,35000,19184,102,58.5,6,"Charged Off"
"273",11875,11875,23.75,0,268.32,25920,13932,101,94.1,8,"Charged Off"
"278",14000,14000,19.74,10,438.07,45600,15846,92,63.9,5,"Charged Off"
"299",8000,8000,13.22,5,282.41,50000,5106,105,72.9,9,"Charged Off"
"300",30000,30000,0.94,3,673.72,70000,1159,106,3.2,7,"Charged Off"
"301",18000,18000,18.42,6,445.13,40000,11147,100,73.4,7,"Charged Off"
"304",20000,20000,20.91,10,533.23,59000,32137,100,83.1,16,"Charged Off"
"313",9000,9000,22.56,3,238,60000,21321,97,91.1,17,"Charged Off"
"314",25000,25000,12.6,10,643.58,61500,24278,100,60.8,11,"Charged Off"
